Source,Target,Weight,W,sign
72,9,0.31767475243680343,0.31767475243680343,1
13,69,0.3176928345720107,-0.3176928345720107,0
80,7,0.31827185867733643,-0.31827185867733643,0
2,7,0.31900538530035283,-0.31900538530035283,0
82,14,0.3192080597070007,0.3192080597070007,1
50,5,0.3193332172180541,0.3193332172180541,1
39,42,0.31940553558647117,0.31940553558647117,1
30,49,0.3195420383597104,0.3195420383597104,1
20,21,0.3198518478658581,0.3198518478658581,1
36,1,0.3198755823933954,-0.3198755823933954,0
65,48,0.3201399900688922,0.3201399900688922,1
42,9,0.3201953318617362,-0.3201953318617362,0
97,51,0.32054964602141783,0.32054964602141783,1
34,22,0.32057545593349546,0.32057545593349546,1
69,58,0.3206049426296631,-0.3206049426296631,0
52,33,0.3209667856814999,-0.3209667856814999,0
24,46,0.3210778892185677,0.3210778892185677,1
65,81,0.3211468820587478,0.3211468820587478,1
79,81,0.32115854834179774,0.32115854834179774,1
37,45,0.32120932047540596,-0.32120932047540596,0
52,57,0.3213094292180841,0.3213094292180841,1
69,11,0.3214193628419762,-0.3214193628419762,0
3,58,0.3214763704568323,-0.3214763704568323,0
70,75,0.3214929522659758,0.3214929522659758,1
22,85,0.3218335917334749,0.3218335917334749,1
28,51,0.32202943071903334,0.32202943071903334,1
32,48,0.32229573465047945,-0.32229573465047945,0
16,19,0.3223842126403637,0.3223842126403637,1
22,80,0.3224208294826871,-0.3224208294826871,0
30,53,0.32250302691734034,-0.32250302691734034,0
48,75,0.32265124782185095,0.32265124782185095,1
70,7,0.3227814026732048,0.3227814026732048,1
42,7,0.32283719585013043,-0.32283719585013043,0
82,73,0.323226704830052,0.323226704830052,1
66,20,0.3233728397712133,-0.3233728397712133,0
33,15,0.3237917229634167,-0.3237917229634167,0
27,8,0.3237974291030531,0.3237974291030531,1
55,40,0.32393409288903285,-0.32393409288903285,0
18,85,0.3240035471033178,-0.3240035471033178,0
91,85,0.32415761343652155,0.32415761343652155,1
34,8,0.32422211118254485,-0.32422211118254485,0
48,55,0.3242484000876685,-0.3242484000876685,0
97,49,0.32433553140034416,-0.32433553140034416,0
67,41,0.32444183823708583,0.32444183823708583,1
67,63,0.32456332121247095,0.32456332121247095,1
28,75,0.32492168642645686,0.32492168642645686,1
55,83,0.32495169677895624,-0.32495169677895624,0
23,33,0.3251877094186157,-0.3251877094186157,0
34,76,0.32528975472783916,-0.32528975472783916,0
73,68,0.325408188157083,0.325408188157083,1
93,33,0.32564016606775015,-0.32564016606775015,0
25,41,0.3258281667414028,-0.3258281667414028,0
86,80,0.3260720583763182,0.3260720583763182,1
67,11,0.3260849889098628,0.3260849889098628,1
28,50,0.3261592570922235,0.3261592570922235,1
13,43,0.3262273582402806,-0.3262273582402806,0
6,28,0.3263976288404766,0.3263976288404766,1
